mu.R,mu.py,k.R,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,n,graph.var,corr.var,b.var,t.var.ratio,mean.var.ratio
NA,2.8846459824980113,NA,1.1009039354273886,5.943333333333333,28.537236586043925,0.5740485383342526,Negative Binomial,0.19,186,56,1,19,0.04521718,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,187,56,0,21,0.0414949,7
NA,2.606060606060606,NA,1.0592911112712977,6.156666666666666,26.600956352515986,0.5812423500611995,Negative Binomial,0.154,188,56,1,21,0.0414949,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,189,56,0,23,0.03825944,7
NA,2.563380281690141,NA,1.2175647537810597,6.52,32.49000834028357,0.5631868131868132,Negative Binomial,0.154,190,56,1,23,0.03825944,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,191,56,0,25,0.0357363,7
NA,2.595486111111111,NA,1.1328668881958122,7.903333333333333,47.533600222407564,0.5752508361204013,Negative Binomial,0.122,192,56,1,25,0.0357363,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,193,56,0,27,0.03324964,7
NA,2.334445371142619,NA,1.0909971985267009,9.593333333333334,79.44082290797887,0.5804751697034656,Negative Binomial,0.127,194,56,1,27,0.03324964,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,195,56,0,29,0.03111772,7
NA,2.322299651567944,NA,1.2492359244944222,11.646666666666667,115.2445259938838,0.5636721680420105,Negative Binomial,0.063,196,56,1,29,0.03111772,7
NA,3.8720852764823452,NA,0.9869740842084072,1.99,1.8781317764804004,0.5756624225739848,Negative Binomial,0.49,197,64,0,3,0.15044462,8
NA,9.59205298013245,NA,0.865542629347974,1.79,1.1868890742285239,0.5764061493141858,Negative Binomial,0.506,198,64,1,3,0.15044462,8
NA,3.0658882402001666,NA,1.1525095855980878,2.68,4.2077731442869055,0.5682127312295974,Negative Binomial,0.339,199,64,0,5,0.11912856,8
NA,6.827444051825677,NA,0.8089836110890526,2.1566666666666667,2.3207228245760354,0.6061200724575174,Negative Binomial,0.443,200,64,1,5,0.11912856,8
NA,2.573587907716786,NA,1.1290100452824452,3.97,13.393594662218515,0.5711746522411129,Negative Binomial,0.226,201,64,0,7,0.0975731,8
NA,5.614628149969269,NA,0.7789432284940143,2.4633333333333334,2.7309313316652766,0.6087848932676518,Negative Binomial,0.427,202,64,1,7,0.0975731,8
NA,2.2589605734767026,NA,1.4255858030717845,5.96,25.199399499582984,0.5552360174533915,Negative Binomial,0.155,203,64,0,9,0.08201116,8
NA,4.777417261518495,NA,0.8897235304610578,2.8466666666666667,5.587812065610231,0.6004482477587612,Negative Binomial,0.352,204,64,1,9,0.08201116,8
NA,2.2459749552772807,NA,1.3958272678161365,9.76,75.53201000834028,0.5591397849462365,Negative Binomial,0.08,205,64,0,11,0.07032651,8
NA,3.9528023598820057,NA,0.9795865773150936,3.243333333333333,6.849830414234084,0.5886660447761194,Negative Binomial,0.328,206,64,1,11,0.07032651,8
NA,2.1139896373056994,NA,1.2916390879864497,29.12,853.5235362802335,0.5665849673202614,Negative Binomial,0.012,207,64,0,13,0.06202945,8
NA,3.628403237674761,NA,0.9827972296019516,3.4,6.859049207673061,0.5804096532143581,Negative Binomial,0.305,208,64,1,13,0.06202945,8
