mu.py,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,graph.var,t.var,graph.var.ratio,t.var.ratio
7.8884306987399775,0.6287363172136236,8.955,67.45442942942942,0.6382249586152818,Negative Binomial,0.108,1688,12625,211,50.5
8.372145602532218,0.5548414372987277,8.955,67.83480980980981,0.6675398325681879,Negative Binomial,0.105,1688,25000,211,100
8.198901098901098,0.6353466770260308,8.731,61.86450350350351,0.6143948532368315,Negative Binomial,0.109,1866,250,233.25,1
8.168368455355203,0.5437777350559498,9.136,77.49099499499499,0.6671719992552994,Negative Binomial,0.111,1866,12625,233.25,50.5
8.248222365869424,0.5140244122970088,9.636,79.60510910910911,0.6874085684430512,Negative Binomial,0.119,1866,25000,233.25,100
8.987645169261182,0.6485130123465894,9.298,63.927123123123124,0.6216974129161741,Negative Binomial,0.107,2044,250,255.5,1
8.576169265033407,0.5601754847764605,8.814,70.40180580580581,0.6704754979614096,Negative Binomial,0.104,2044,12625,255.5,50.5
8.50814125607951,0.5055432405257976,9.774,80.50342742742743,0.6817198956132721,Negative Binomial,0.096,2044,25000,255.5,100
8.270837988826816,0.6745067415774718,9.337,81.560991991992,0.6069112720198855,Negative Binomial,0.105,2222,250,277.75,1
8.616892207186188,0.6559370519881418,9.482,77.01869469469469,0.6255279974006281,Negative Binomial,0.098,2222,12625,277.75,50.5
9.057883264713006,0.607029622159154,9.522,84.86037637637638,0.6623262032085562,Negative Binomial,0.087,2222,25000,277.75,100
8.254976303317536,0.7232235360001226,9.106,74.07483883883884,0.5847399242163279,Negative Binomial,0.102,2400,250,300,1
8.356458771315113,0.6645627412810635,9.545,79.227202202202207,0.6193324760999609,Negative Binomial,0.083,2400,12625,300,50.5
8.673885350318471,0.5203006165092133,9.67,84.3954954954955,0.6844372644049542,Negative Binomial,0.081,2400,25000,300,100
14.077045274027006,0.3692612201239476,6.769,36.996635635635634,0.761026161861235,Scale Free,0.16,NA,250,NA,1
14.276500280426248,0.38294808337977804,6.978,45.54105705705706,0.7619524651345512,Scale Free,0.148,NA,12625,NA,50.5
14.641579930611156,0.35748977638684065,7.068,43.43681281281281,0.7810688636943603,Scale Free,0.142,NA,25000,NA,100
